iter	RMSE
173	2.044619346
174	2.043716701
175	2.04241294
176	2.041504646
177	2.040355774
178	2.039081942
179	2.03811875
180	2.037392957
181	2.036506495
182	2.035732812
183	2.034834929
184	2.033465527
185	2.032403836
186	2.031082432
187	2.030311433
188	2.029392223
189	2.028783325
190	2.028055007
191	2.02694082
192	2.025861414
193	2.025022238
194	2.024395549
195	2.023760767
196	2.023023201
197	2.021937564
198	2.02118614
199	2.020239171
200	2.019505946
201	2.018303385
202	2.017443601
203	2.016842554
204	2.015924641
205	2.015038065
206	2.014060381
207	2.01348891
208	2.012685168
209	2.011557572
210	2.010650427
211	2.009732589
212	2.009223443
213	2.008109267
214	2.007515606
215	2.006904948
216	2.006208348
217	2.005441328
218	2.004726981
219	2.003947964
220	2.003092805
221	2.002403126
222	2.001473123
223	2.001055262
224	2.000255132
225	1.999291601
226	1.998562163
227	1.997555433
228	1.99687643
229	1.995968099
230	1.995191045
231	1.994534644
232	1.993860444
233	1.993297993
234	1.992739716
235	1.991914803
236	1.991154554
237	1.990595677
238	1.989680238
239	1.989127812
240	1.988494209
241	1.988010128
242	1.987666061
243	1.987174039
244	1.986616352
245	1.985801361
246	1.985002652
247	1.984595969
248	1.984106479
249	1.983620641
250	1.982990035
251	1.982359462
252	1.981937448
253	1.981469417
254	1.981040374
255	1.980569184
256	1.979788535
257	1.979141423
258	1.978599267
259	1.978208376
260	1.977815864
261	1.977325926
262	1.976714594
263	1.976063947
264	1.975476182
265	1.974884028
266	1.974414227
267	1.973693624
268	1.973176137
269	1.972865684
270	1.972483888
271	1.971870519
272	1.971446581
273	1.970974741
274	1.970397941
275	1.969958653
276	1.969498631
277	1.968963967
278	1.968427914
279	1.968032423
280	1.967314429
281	1.966809421
282	1.966440324
283	1.965680373
284	1.965190026
285	1.964620597
286	1.964138056
287	1.963657163
288	1.963042052
289	1.962663365
290	1.962102603
291	1.961477822
292	1.960843931
293	1.960376241
294	1.959861486
295	1.959464572
296	1.959180594
297	1.958652042
298	1.958399477
299	1.958024708
300	1.957679537
301	1.957052824
302	1.956653414
303	1.956137024
304	1.955618577
305	1.955409556
306	1.954908476
307	1.954401437
308	1.954061723
309	1.953789379
310	1.953395441
311	1.95296674
312	1.952749764
313	1.952340807
314	1.952161121
315	1.951756617
316	1.951291084
317	1.950692516
318	1.950337264
319	1.949694499
320	1.949244793
321	1.948620043
322	1.948133776
323	1.947806207
324	1.947597292
325	1.947153169
326	1.946752361
327	1.946408799
328	1.946077289
329	1.945830666
330	1.945449337
331	1.945097634
332	1.944682133
333	1.944427398
334	1.943968101
335	1.943568582
336	1.943229331
337	1.942967925
338	1.942782195
339	1.942412347
340	1.942074157
341	1.941814197
342	1.94148682
343	1.941281967
344	1.941075794
345	1.940790344
346	1.940404513
347	1.940090229
348	1.939649426
349	1.939457586
350	1.939112807
351	1.938810168
352	1.938485467
353	1.937947263
354	1.937660737
355	1.937475249
356	1.937331249
357	1.936923088
358	1.936642559
359	1.936100657
360	1.935749593
361	1.935358872
362	1.93501768
363	1.934560569
364	1.934385177
365	1.933928907
366	1.933540821
367	1.933176726
368	1.932828462
369	1.932475186
370	1.932223923
371	1.931903495
372	1.931280877
373	1.930745482
374	1.930627253
375	1.930169894
376	1.929967019
377	1.929541935
378	1.929254104
379	1.928890449
380	1.928649977
381	1.928281376
382	1.92777836
383	1.927637531
384	1.927447507
385	1.927095709
386	1.926564841
387	1.926397181
388	1.926106201
389	1.925889254
390	1.925560427
391	1.925118187
392	1.924928697
393	1.924504165
394	1.924071653
395	1.923783814
396	1.92347706
397	1.92319004
398	1.923002443
399	1.922690694
400	1.92247453
401	1.922215489
402	1.92204001
403	1.921609317
404	1.92108429
405	1.920943865
406	1.920634173
407	1.920248747
408	1.920011757
409	1.919599735
410	1.919407398
411	1.919189937
412	1.918887793
413	1.918484808
414	1.91826891
415	1.918029033
416	1.917824451
417	1.917625646
418	1.917249415
419	1.916893791
420	1.916573972
421	1.916349569
422	1.916168814
423	1.915739927
424	1.915444372
425	1.915023549
426	1.914817846
427	1.91446033
428	1.91406648
429	1.913828443
430	1.913614729
431	1.91341541
432	1.913194749
433	1.912829302
434	1.912372558
435	1.912239755
436	1.912048978
437	1.911813414
438	1.911539544
439	1.911261426
440	1.910980984
441	1.910734802
442	1.910479394
443	1.910223996
444	1.90994263
445	1.909750621
446	1.909528533
447	1.909298008
448	1.909061801
449	1.908811407
450	1.908674828
451	1.90848656
452	1.908051628
453	1.907905162
454	1.907667316
455	1.907456484
456	1.907273593
457	1.907066593
458	1.906968482
459	1.90689253
460	1.9065133
461	1.906294503
462	1.906037262
463	1.905845544
464	1.905691599
465	1.905385857
466	1.905072861
467	1.904848206
468	1.904567468
469	1.90439394
470	1.904194678
471	1.903840058
472	1.90354991
473	1.903467166
474	1.903277021
475	1.903087652
476	1.902806856
477	1.902506502
478	1.902357567
479	1.902175316
480	1.901994919
481	1.901781263
482	1.901599276
483	1.901395534
484	1.901225897
485	1.900906533
486	1.900757999
487	1.90030721
488	1.900126858
489	1.899959583
490	1.899818136
491	1.899732697
492	1.899552099
493	1.899313963
494	1.899067832
495	1.898846751
496	1.898545112
497	1.898237821
498	1.897923389
499	1.897831242
500	1.897696847
501	1.897561726
502	1.897220938
503	1.897113135
504	1.896921691
505	1.896836403
506	1.896600493
507	1.896381581
508	1.896072759
509	1.895946783
510	1.895709755
511	1.895496901
512	1.895371847
513	1.895181124
514	1.894910892
515	1.894749239
516	1.894608271
517	1.894469972
518	1.894137638
519	1.893967842
520	1.893782014
521	1.893569917
522	1.893340734
523	1.893248188
524	1.89301595
525	1.892901813
526	1.892661814
527	1.892586819
528	1.892440786
529	1.892098808
530	1.891843092
531	1.891704604
532	1.891517221
533	1.891357626
534	1.891204674
535	1.891072143
536	1.891014084
537	1.890875846
538	1.890703365
539	1.890468419
540	1.890304566
541	1.890163151
542	1.890045456
543	1.889968042
544	1.889613043
545	1.889353416
546	1.88917634
547	1.888861083
548	1.888705278
549	1.888614516
550	1.888362798
551	1.888144549
552	1.887896034
553	1.887486481
554	1.887314457
555	1.88720631
556	1.887111442
557	1.886946872
558	1.886714685
559	1.886550958
560	1.886400565
561	1.88622848
562	1.886105505
563	1.885995087
564	1.885862749
565	1.885786775
566	1.885522187
567	1.885322944
568	1.885285072
569	1.885221271
570	1.885061989
571	1.884847407
572	1.884655832
573	1.884519201
574	1.884291641
575	1.883982235
576	1.883872552
577	1.883727131
578	1.883413657
579	1.883080936
580	1.882959179
581	1.882816837
582	1.882463522
583	1.882333656
584	1.882130379
585	1.882017977
586	1.881928461
587	1.881821275
588	1.881674999
589	1.881547128
590	1.88150912
591	1.881250143
592	1.881104328
593	1.880907713
594	1.880754537
595	1.880634922
596	1.880585408
597	1.880396056
598	1.880247961
599	1.880030012
600	1.879867339
601	1.879774546
602	1.87942656
603	1.879275078
604	1.878971278
605	1.878677434
606	1.878648157
607	1.878455271
608	1.878196325
609	1.8780298
610	1.877856607
611	1.877703954
612	1.877496468
613	1.877389514
614	1.877227028
615	1.877077602
616	1.876974127
617	1.876830776
618	1.876741437
619	1.876600818
620	1.876480578
621	1.876366523
622	1.876184235
623	1.876062412
624	1.876005458
625	1.875944638
626	1.875893413
627	1.875741451
628	1.875633759
629	1.875427456
630	1.875150601
631	1.875011628
632	1.874958549
633	1.874725109
634	1.874578094
635	1.874426603
636	1.874306835
637	1.874062681
638	1.873913858
639	1.873853468
640	1.873742988
641	1.873637161
642	1.873390963
643	1.873293868
644	1.873165574
645	1.872892788
646	1.872840908
647	1.872743635
648	1.872622449
649	1.872391436
650	1.872236475
651	1.872136408
652	1.872007664
653	1.871858379
654	1.871791737
655	1.871679056
656	1.871524301
657	1.871385318
658	1.871323717
659	1.871097302
660	1.870974657
661	1.870849867
662	1.87078425
663	1.870619834
664	1.870482352
665	1.870326397
666	1.869990256
667	1.86981139
668	1.869668822
669	1.869470798
670	1.869321811
671	1.869161943
672	1.868985958
673	1.868799244
674	1.868726779
675	1.86866819
676	1.86855361
677	1.868389332
678	1.868250088
679	1.868139398
680	1.868077823
681	1.867944221
682	1.86773479
683	1.86763867
684	1.86751156
685	1.867401848
686	1.867302031
687	1.867137987
688	1.867043385
689	1.866906994
690	1.866871844
691	1.866797073
692	1.86659401
693	1.866483585
694	1.866348616
695	1.866276858
696	1.866154927
697	1.866003234
698	1.865916138
699	1.865863254
700	1.865728807
701	1.865490929
702	1.865352226
703	1.865202912
704	1.865102626
705	1.864993433
706	1.864867222
707	1.864788751
708	1.864669296
709	1.864565451
710	1.86449386
711	1.864388723
712	1.864292731
713	1.864192737
714	1.863866111
715	1.86379995
716	1.863752941
717	1.86359859
718	1.863497778
719	1.863402688
720	1.863288996
721	1.863167791
722	1.863035822
723	1.862742431
724	1.862635033
725	1.862555204
726	1.862478746
727	1.862370882
728	1.86216635
729	1.862050609
730	1.861973938
731	1.86188472
732	1.861781929
733	1.861694839
734	1.86155151
735	1.861513692
736	1.861394983
737	1.861279304
738	1.861171748
739	1.861071438
740	1.860816453
741	1.860615147
742	1.860504581
743	1.860435427
744	1.860336996
745	1.860262377
746	1.860131715
747	1.860018232
748	1.859876445
749	1.859841483
750	1.859567808
751	1.859485593
752	1.859304308
753	1.859193245
754	1.859143303
755	1.858989391
756	1.858935284
757	1.85884084
758	1.858790906
759	1.858595466
760	1.858553983
761	1.858469062
762	1.858351618
763	1.858134936
764	1.857891055
765	1.857681643
766	1.857561918
767	1.85734538
768	1.857212286
769	1.857093206
770	1.857000801
771	1.856864049
772	1.856768884
773	1.856668261
774	1.856576614
775	1.856438189
776	1.85628834
777	1.85619372
778	1.856123732
779	1.85598446
780	1.855904232
781	1.855807283
782	1.855751912
783	1.855689463
784	1.855595257
785	1.855528168
786	1.855453612
787	1.855369653
788	1.85528739
789	1.854992754
790	1.854884101
791	1.854812127
792	1.854693869
793	1.854434153
794	1.854354632
795	1.854251774
796	1.854159342
797	1.854041527
798	1.853922665
799	1.853730816
800	1.853627986
801	1.853513837
802	1.853448184
803	1.853304906
804	1.853217629
805	1.853150248
806	1.852903121
807	1.852875001
808	1.852756513
809	1.852689415
810	1.852615532
811	1.852368557
812	1.852241979
813	1.852083978
814	1.851999107
815	1.851951072
816	1.851859286
817	1.851776777
818	1.851652051
819	1.851547746
820	1.85141945
821	1.85133662
822	1.851114689
823	1.851013543
824	1.850871569
825	1.850794064
826	1.850706746
827	1.850629044
828	1.850471212
829	1.850418308
830	1.850295292
831	1.85020579
832	1.849959236
833	1.84974858
834	1.849625419
835	1.849538818
836	1.849426597
837	1.849295938
838	1.849259086
839	1.849223121
840	1.849149131
841	1.849024742
842	1.848905792
843	1.848846718
844	1.848710433
845	1.848488146
846	1.848427697
847	1.848326604
848	1.848142218
849	1.847972238
850	1.847833843
851	1.847719661
852	1.847650999
853	1.847508506
854	1.84740972
855	1.847196596
856	1.847082318
857	1.846990586
858	1.84693124
859	1.846816073
860	1.846726869
861	1.846651
862	1.846449209
863	1.84639984
864	1.846308119
865	1.846161351
866	1.846000357
867	1.845881548
868	1.845830236
869	1.845638933
870	1.845590151
871	1.845499126
872	1.845460703
873	1.845388855
874	1.845337487
875	1.845275278
876	1.845220961
877	1.845140802
878	1.845064833
879	1.845010292
880	1.844909104
881	1.844709626
882	1.8446451
883	1.844613187
884	1.844517664
885	1.844452327
886	1.844403498
887	1.844346032
888	1.844249488
889	1.844199688
890	1.844077917
891	1.843972523
892	1.843901061
893	1.843793907
894	1.843737143
895	1.843668353
896	1.843521682
897	1.843405188
898	1.84320147
899	1.843055681
